run_id,profile,workload,input_tokens,output_tokens,max_concurrency,status,samples_in_window,active_samples,active_mean_power_w,active_median_power_w,active_p95_power_w,active_mean_gpu_util_pct,active_mean_sm_clock_mhz,active_max_temperature_c,min_power_limit_w,max_power_limit_w,telemetry_file
expanded-250w-v2-20260731,mtp,prefill,512,1,1,passed,139,0,,,,,,,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,prefill,2048,1,1,passed,119,4,247.53,249.54,254.98,99.8,1339,52,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,prefill,4096,1,1,passed,128,11,222.81,248.89,258.29,98.8,1334,54,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,prefill,8192,1,1,passed,143,26,238.82,250.12,255.25,98.5,1325,57,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,prefill,12288,1,1,passed,158,42,241.55,249.09,258.17,98.1,1321,60,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,prefill,20480,1,1,passed,195,74,242.23,249.16,267.86,98.4,1317,65,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,decode,1024,1024,1,passed,304,191,219.55,219.72,234.15,94.7,1408,66,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,decode,1024,4096,1,passed,816,700,234.98,234.79,251.60,94.7,1409,81,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,decode,1024,8192,1,passed,1478,1348,239.57,240.24,255.56,94.6,1392,84,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
expanded-250w-v2-20260731,mtp,decode,4096,1024,1,passed,316,204,240.47,240.51,254.40,94.9,1400,81,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv
