profile,input_tokens,output_tokens,max_concurrency,requests,duration_s,input_tok_s,output_tok_s,total_tok_s,mean_ttft_ms,mean_tpot_ms,accept_length
baseline,128,128,1,5,16.413306,38.992753,38.992753,77.985507,249.703957,23.794705,
baseline,128,256,1,5,31.667715,20.209857,40.419714,60.629571,223.860943,23.931237,
baseline,128,512,1,5,62.335005,10.267104,41.068417,51.335521,225.908686,23.937421,
baseline,10240,128,1,3,16.547087,1856.520095,23.206501,1879.726596,2404.648472,24.372784,
baseline,20480,128,1,3,24.805421,2476.877927,15.480487,2492.358414,5103.243784,24.834266,
mtp-3step-4draft,128,128,1,5,8.355825,76.593272,76.593272,153.186543,262.264459,11.036831,3.260000
mtp-3step-4draft,128,256,1,5,15.769548,40.584549,81.169097,121.753646,266.531651,11.297345,3.233333
mtp-3step-4draft,128,512,1,5,30.677757,20.862021,83.448083,104.310103,262.157806,11.480894,3.184722
mtp-3step-4draft,10240,128,1,3,11.817415,2599.553210,32.494415,2632.047625,2466.275929,11.517399,3.233333
mtp-3step-4draft,20480,128,1,3,20.416773,3009.290495,18.808066,3028.098560,5274.615387,11.970199,3.158333
prefill,128,1,1,5,0.718910,890.236152,6.954970,897.191122,136.396091,0.000000,
prefill,256,1,1,5,0.665743,1922.663851,7.510406,1930.174256,127.623080,0.000000,
prefill,512,1,1,5,0.786525,3254.823635,6.357077,3261.180712,150.706911,0.000000,
prefill,1024,1,1,5,1.273392,4020.758270,3.926522,4024.684792,248.311855,0.000000,
prefill,2048,1,1,5,2.317686,4418.199227,2.157324,4420.356551,457.405032,0.000000,
prefill,4096,1,1,5,4.413842,4639.948210,1.132800,4641.081010,876.427806,0.000000,
prefill,8192,1,1,5,8.955360,4573.797295,0.558325,4574.355620,1784.117375,0.000000,
throughput,1024,256,4,20,38.510926,531.797129,132.949282,664.746411,764.856020,27.122077,
