run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,status,completed,duration_s,actual_concurrency,total_input_tokens,mean_input_tokens,median_input_tokens,max_input_tokens,total_output_tokens,mean_output_tokens,median_output_tokens,max_output_tokens,input_tok_s,e2e_output_tok_s,steady_decode_tok_s,mean_e2e_latency_ms,median_e2e_latency_ms,p95_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,accept_length,result_file,note
expanded-250w-v2-20260731,mtp,prefill,512,1,1,3,passed,3,0.725,0.981,1536,512.000,512.000,512.000,3,1.000,1.000,1.000,2119.077,4.139,,236.992,234.037,253.949,236.969,234.019,253.925,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-512-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,prefill,2048,1,1,3,passed,3,1.490,0.991,6144,2048.000,2048.000,2048.000,3,1.000,1.000,1.000,4122.158,2.013,,492.286,486.986,506.367,492.263,486.969,506.343,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-2048-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,prefill,4096,1,1,3,passed,3,2.860,0.996,12288,4096.000,4096.000,4096.000,3,1.000,1.000,1.000,4296.733,1.049,,949.342,937.674,972.787,949.311,937.635,972.762,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-4096-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,prefill,8192,1,1,3,passed,3,5.789,0.996,24576,8192.000,8192.000,8192.000,3,1.000,1.000,1.000,4245.306,0.518,,1921.213,1905.055,1949.262,1921.185,1905.024,1949.238,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-8192-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,prefill,12288,1,1,3,passed,3,8.898,0.999,36864,12288.000,12288.000,12288.000,3,1.000,1.000,1.000,4142.830,0.337,,2961.941,2946.089,2989.334,2961.917,2946.059,2989.309,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-12288-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,prefill,20480,1,1,3,passed,3,15.706,0.999,61440,20480.000,20480.000,20480.000,3,1.000,1.000,1.000,3911.911,0.191,,5230.410,5207.546,5279.399,5230.385,5207.514,5279.375,0.000,0.000,0.000,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-prefill-20480-1-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,1024,1024,1,3,passed,3,38.365,0.999,3072,1024.000,1024.000,1024.000,3072,1024.000,1024.000,1024.000,80.073,80.073,81.780,12777.849,12688.169,13180.026,268.689,267.605,272.807,12.228,12.141,12.617,2.960,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-1024-1024-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,1024,4096,1,3,passed,3,140.941,1.000,3072,1024.000,1024.000,1024.000,12288,4096.000,4096.000,4096.000,21.796,87.185,87.691,46969.342,45594.435,51168.806,271.128,271.787,271.809,11.404,11.068,12.429,3.179,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-1024-4096-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,1024,8192,1,3,passed,3,272.270,1.000,3072,1024.000,1024.000,1024.000,24576,8192.000,8192.000,8192.000,11.283,90.263,90.540,90745.363,86869.685,102331.178,276.619,276.579,279.455,11.045,10.572,12.459,3.311,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-1024-8192-c1.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,mtp,decode,4096,1024,1,3,passed,3,41.462,0.999,12288,4096.000,4096.000,4096.000,3072,1024.000,1024.000,1024.000,296.367,74.092,79.686,13808.840,13795.529,14234.801,970.904,962.990,989.775,12.549,12.550,12.948,2.909,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-official-decode-4096-1024-c1.jsonl,official;flush-cache-required
